#GEO Sample Accession # = 
#Patient ID = 
#Affy platform = 
GEO Sample Accession #	Patient ID	Affy platform
GSM79585	X60A05	HG-U133B
GSM79586	X61A53	HG-U133B
GSM79587	X62A02	HG-U133B
GSM79588	X63A62	HG-U133B
GSM79589	X64A59	HG-U133B
GSM79590	X65A68	HG-U133B
GSM79591	X66A84	HG-U133B
GSM79592	X67A43	HG-U133B
GSM79593	X69A93	HG-U133B
GSM79594	X6B85	HG-U133B
GSM79595	X70A79	HG-U133B
GSM79596	X72A92	HG-U133B
GSM79597	X73A01	HG-U133B
GSM79598	X74A63	HG-U133B
GSM79599	X75A01	HG-U133B
GSM79600	X76A44	HG-U133B
GSM79601	X77A50	HG-U133B
GSM79602	X79A35	HG-U133B
GSM79603	X7B96	HG-U133B
GSM79604	X82A83	HG-U133B
GSM79605	X84A44	HG-U133B
GSM79606	X85A03	HG-U133B
GSM79607	X86A40	HG-U133B
GSM79608	X87A79	HG-U133B
GSM79609	X88A67	HG-U133B
GSM79610	X8B87	HG-U133B
GSM79611	X90A63	HG-U133B
GSM79612	X94A16	HG-U133B
GSM79613	X96A21	HG-U133B
GSM79614	X99A50	HG-U133B
GSM79615	X9B52	HG-U133B
